Numer okręgu,Siedziba OKW,Numer listy,Nazwa,Typ,Numer na liście,Nazwisko,Imiona,Płeć,Zawód,Miejscowość zamieszkania,Kod TERYT,Gmina miejsca zamieszkania,Przynależność do partii,Poparcie,Liczba głosów,Procent głosów oddanych na listę,Procent głosów oddanych w okręgu,Czy przyznano mandat
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,1,MENTZEN,Sławomir Jerzy,Mężczyzna,doradca podatkowy,Toruń,046301,m. Toruń,nie należy do partii politycznej,,16718,"50,37","2,02",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,2,URBANIAK,Michał Piotr,Mężczyzna,przedsiębiorca,Mosty,221105,gm. Kosakowo,członek partii politycznej: Ruch Narodowy,,5170,"15,58","0,62",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,3,PRUŚ,Sylwester Zbigniew,Mężczyzna,fizyk,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,2840,"8,56","0,34",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,4,BREWIAK,Grażyna,Kobieta,inżynier środowiska,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,904,"2,72","0,11",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,5,STUPKIEWICZ,Magdalena,Kobieta,przedsiębiorca,Stegna,221004,gm. Stegna,nie należy do partii politycznej,,930,"2,80","0,11",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,6,LIPINSKA-BEHRENDT,Martyna Elżbieta,Kobieta,handlowiec,Chojnice,220201,m. Chojnice,członek partii politycznej: Ruch Narodowy,,553,"1,67","0,07",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,7,ŚWIECZKOWSKA,Iwona Gabriela,Kobieta,opiekunka w żłobku,Somonino,220505,gm. Somonino,nie należy do partii politycznej,,751,"2,26","0,09",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,8,KRZYWKOWSKI,Marcin Piotr,Mężczyzna,naukowiec,Tczew,221401,m. Tczew,nie należy do partii politycznej,,1033,"3,11","0,12",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,9,DRANIEWICZ,Karol Łukasz,Mężczyzna,przedsiębiorca,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,520,"1,57","0,06",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,10,DZIAMBOR,Artur Erwin,Mężczyzna,nauczyciel języka angielskiego,Gdynia,226201,m. Gdynia,nie należy do partii politycznej,,3769,"11,36","0,46",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,1,MACIEJEWSKA,Beata Monika,Kobieta,edukatorka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Wiosna Roberta Biedronia,,23999,"47,18","2,90",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,2,RUTKA,Marek Andrzej,Mężczyzna,nauczyciel akademicki,Gdynia,226201,m. Gdynia,członek partii politycznej: Wiosna Roberta Biedronia,,3927,"7,72","0,47",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,3,BIEDROŃ,Adriana Maria,Kobieta,nauczyciel akademicki,Słupsk,226301,m. Słupsk,nie należy do partii politycznej,,13316,"26,18","1,61",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,4,JAROSZ,Maciej,Mężczyzna,przedsiębiorca,Borkowo,220404,gm. Pruszcz Gdański,nie należy do partii politycznej,,1596,"3,14","0,19",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,5,GRACZYK,Ewa Elżbieta,Kobieta,nauczyciel akademicki,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,2118,"4,16","0,26",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,6,JASIONEK,Henryk Jacek,Mężczyzna,prawnik,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,844,"1,66","0,10",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,7,OCHOCKA,Iwona,Kobieta,nauczyciel,Knybawa,221406,gm. Tczew,nie należy do partii politycznej,,2046,"4,02","0,25",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,8,BYLICA,Bartosz,Mężczyzna,marketingowiec,Rotmanka,220404,gm. Pruszcz Gdański,nie należy do partii politycznej,,560,"1,10","0,07",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,9,SZUBIŃSKA,Bożena Leokadia,Kobieta,żołnierz,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Ruch Odrodzenia Gospodarczego im. Edwarda Gierka,,926,"1,82","0,11",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,10,LAMENTOWICZ,Wojciech,Mężczyzna,prawnik,Rumia,221502,m. Rumia,nie należy do partii politycznej,,1530,"3,01","0,18",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,1,LEWANDOWSKI,Janusz Antoni,Mężczyzna,ekonomista,Sopot,226401,m. Sopot,członek partii politycznej: Platforma Obywatelska RP,,120990,"28,86","14,62",Tak
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,2,ADAMOWICZ,Magdalena,Kobieta,nauczyciel akademicki,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,Platforma Obywatelska RP,199591,"47,61","24,12",Tak
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,3,TRAWICKI,Krzysztof Gabriel,Mężczyzna,lekarz weterynarii,Bytonia,221313,gm. Zblewo,członek partii politycznej: Polskie Stronnictwo Ludowe,,5679,"1,35","0,69",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,4,JACHLEWSKA,Elżbieta,Kobieta,ekonomistka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Inicjatywa Feministyczna,,2257,"0,54","0,27",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,5,FURGO,Grzegorz Witold,Mężczyzna,polityk,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Platforma Obywatelska RP,,1715,"0,41","0,21",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,6,LIEDER,Ewa,Kobieta,ekonomistka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Nowoczesna,,2726,"0,65","0,33",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,7,POPOWSKA,Magdalena Maria,Kobieta,nauczyciel akademicki,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,Partia Zieloni,2384,"0,57","0,29",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,8,PIETRZAK,Anna Grażyna,Kobieta,ekonomista,Dębnica Kaszubska,221203,gm. Dębnica Kaszubska,członek partii politycznej: Platforma Obywatelska RP,,1588,"0,38","0,19",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,9,KALINOWSKA,Jolanta Maria,Kobieta,politolog,Karczemki,221509,gm. Szemud,członek partii politycznej: Socjaldemokracja Polska,,1346,"0,32","0,16",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,10,WAŁĘSA,Jarosław Leszek,Mężczyzna,politolog,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Platforma Obywatelska RP,,80906,"19,30","9,78",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,1,FOTYGA,Anna Elżbieta,Kobieta,ekonomistka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Prawo i Sprawiedliwość,,160517,"56,18","19,40",Tak
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,2,SELLIN,Jarosław Daniel,Mężczyzna,urzędnik państwowy,Warszawa,146516,Wilanów,członek partii politycznej: Prawo i Sprawiedliwość,,77374,"27,08","9,35",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,3,SIKORA,Danuta Teresa,Kobieta,ekonomistka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Prawo i Sprawiedliwość,,11921,"4,17","1,44",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,4,MÜLLER,Piotr Józef,Mężczyzna,prawnik,Słupsk,226301,m. Słupsk,członek partii politycznej: Prawo i Sprawiedliwość,,10573,"3,70","1,28",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,5,SZYMAŃSKI,Antoni,Mężczyzna,kurator sądowy,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,7819,"2,74","0,94",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,6,KURZELEWSKA,Arleta,Kobieta,radca prawny,Człuchów,220301,m. Człuchów,nie należy do partii politycznej,,3367,"1,18","0,41",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,7,BIAŁOOKA-KOSTENECKA,Danuta Jadwiga,Kobieta,prawnik,Gdynia,226201,m. Gdynia,członek partii politycznej: Prawo i Sprawiedliwość,,1895,"0,66","0,23",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,8,RABENDA,Karol Kazimierz,Mężczyzna,historyk,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Porozumienie Jarosława Gowina,,2321,"0,81","0,28",Nie
