TERYT,Jednostka terytorialna,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,w tym umieszczonych w części A spisu wyborców,w tym umieszczonych w części B spisu wyborców,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",w tym w części A spisu wyborców,w tym w części B spisu wyborców,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów,w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI - ZPOW-603-7/19,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS - ZPOW-603-4/19",KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA - ZPOW-603-14/19,KOMITET WYBORCZY JEDNOŚĆ NARODU - ZPOW-603-11/19,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-603-5/19,KOMITET WYBORCZY RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI - ZPOW-603-9/19,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA - ZPOW-603-8/19,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY - ZPOW-603-3/19,KOMITET WYBORCZY WYBORCÓW KUKIZ'15 - ZPOW-603-1/19,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI - ZPOW-603-6/19
020101,m. Bolesławiec,23581,30273,30273,0,9948,13631,13631,0,15,58,7,6,0,0,0,0,6,13638,6,0,13638,90,54,36,0,13548,6408,154,,,4875,,892,725,494,
020102,gm. Bolesławiec,8499,11166,11166,0,4102,4397,4397,0,1,10,0,0,0,0,0,0,0,4397,0,0,4397,31,14,17,0,4366,1536,46,,,2060,,237,271,216,
020103,gm. Gromadka,3394,4376,4374,2,1782,1612,1611,1,0,5,0,0,0,0,0,0,0,1612,0,0,1612,32,17,15,0,1580,454,17,,,881,,76,91,61,
020104,gm. Nowogrodziec,8772,11854,11854,0,4849,3923,3923,0,3,15,0,0,0,0,0,0,0,3923,0,0,3923,61,37,24,0,3862,980,53,,,2236,,197,225,171,
020105,gm. Osiecznica,4000,5369,5369,0,2144,1856,1856,0,0,29,0,0,0,0,0,0,0,1856,0,0,1856,36,21,15,0,1820,614,44,,,797,,131,135,99,
020106,gm. Warta Bolesławiecka,5195,6725,6724,1,2857,2338,2337,1,1,3,0,0,0,0,0,0,0,2338,0,1,2337,20,17,3,0,2317,709,33,,,1201,,140,131,103,
020201,m. Bielawa,18709,24226,24226,0,9041,9667,9667,0,8,25,0,0,0,0,0,0,0,9668,0,0,9668,71,39,32,0,9597,3975,125,,,4027,,657,460,353,
020202,m. Dzierżoniów,20226,26216,26216,0,8239,11987,11987,0,9,30,3,3,1,0,0,0,2,11989,2,0,11989,100,50,50,0,11889,5261,145,,,4660,,834,592,397,
020203,m. Pieszyce,5751,7572,7572,0,2893,2858,2858,0,1,14,0,0,0,0,0,0,0,2858,0,0,2858,27,15,12,0,2831,1004,36,,,1323,,205,165,98,
020204,m. Piława Górna,3796,5039,5039,0,1921,1875,1875,0,4,5,0,0,0,0,0,0,0,1875,0,0,1875,11,10,1,0,1864,585,29,,,940,,117,127,66,
020205,gm. Dzierżoniów,5726,7454,7454,0,2722,3004,3004,0,4,9,0,0,0,0,0,0,0,3004,0,0,3004,45,20,25,0,2959,891,38,,,1604,,172,119,135,
020206,gm. Łagiewniki,4614,6018,6017,1,2369,2259,2259,0,2,10,1,1,0,0,0,0,1,2259,1,0,2259,22,17,5,0,2237,616,21,,,1283,,103,116,98,
020207,gm. Niemcza,3415,4482,4482,0,1860,1555,1555,0,8,6,0,0,0,0,0,0,0,1555,0,0,1555,19,10,9,0,1536,552,23,,,766,,82,63,50,
