Nr okręgu,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,w tym umieszczonych w części A spisu wyborców,w tym umieszczonych w części B spisu wyborców,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",w tym w części A spisu wyborców,w tym w części B spisu wyborców,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów,w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI - ZPOW-603-7/19,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS - ZPOW-603-4/19",KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA - ZPOW-603-14/19,KOMITET WYBORCZY JEDNOŚĆ NARODU - ZPOW-603-11/19,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-603-5/19,KOMITET WYBORCZY RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI - ZPOW-603-9/19,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA - ZPOW-603-8/19,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY - ZPOW-603-3/19,KOMITET WYBORCZY WYBORCÓW KUKIZ'15 - ZPOW-603-1/19,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI - ZPOW-603-6/19
1,1344558,1765086,1764894,192,510630,833899,833797,102,571,13225,97,96,3,2,1,0,90,833838,89,54,833784,6327,3678,2649,0,827457,419182,7946,,,285740,,50862,33188,22114,8425
2,1218662,1603561,1603511,50,549233,669435,669398,37,589,5129,90,89,1,0,0,0,88,669500,88,31,669469,5837,3640,2197,0,663632,305362,7533,,,260408,,39412,25223,25694,
3,1564512,2054446,2054346,100,764625,799846,799805,41,780,6455,74,72,8,0,0,0,64,799875,62,29,799846,6849,3940,2909,0,792997,293677,11517,,,375001,,45424,38866,28512,
4,1831148,2306657,2305727,930,438325,1393145,1392664,481,1014,17054,220,211,5,1,1,5,199,1392943,198,345,1392598,7292,3659,3633,0,1385306,625719,24778,,,447770,,142443,71784,49824,22988
5,1533601,1982688,1982621,67,674787,858816,858774,42,848,4162,47,45,1,0,0,0,44,858825,42,25,858800,8053,4597,3456,0,850747,227106,6434,,2211,512158,,33302,34923,27829,6784
6,1516363,1960252,1960174,78,596687,919991,919956,35,828,3763,80,78,1,2,0,0,76,919881,75,88,919793,7207,4283,2924,0,912586,347620,17849,,,426046,,50696,37899,32476,
7,2073198,2699054,2698905,149,862232,1210909,1210822,87,840,6178,113,110,3,1,1,1,104,1210877,103,100,1210777,11439,6780,4659,0,1199338,518706,19226,,,460432,,93504,55970,51500,
8,1314179,1706080,1706029,51,566146,748033,748000,33,940,4787,54,53,3,0,1,0,49,748059,49,37,748022,8153,4329,2474,1350,739869,208392,5302,,,436139,,22692,32706,29567,5071
9,1310953,1702111,1702079,32,557959,752977,752965,12,797,4442,37,37,2,0,0,0,35,752965,35,33,752932,6396,3969,2427,0,746536,160988,5308,2388,,485779,,22881,43976,25216,
10,2804731,3667333,3667062,271,1048452,1756233,1756095,138,1942,14520,203,193,10,0,2,1,181,1756273,180,145,1756128,15006,9051,5955,0,1741122,505400,16813,5512,,980816,,78568,73613,67272,13128
11,2691759,3514574,3514468,106,1079935,1611793,1611727,66,1388,7023,155,153,3,2,0,0,148,1611781,147,61,1611720,12389,6819,5570,0,1599331,643567,18813,,,691641,,93120,73761,60812,17617
12,2324112,3051668,3051339,329,1004558,1319576,1319433,143,1221,11160,129,125,3,1,0,1,122,1319622,119,72,1319550,10265,5861,4404,0,1309285,574397,17437,,,506921,,88515,65208,56807,
13,1620888,2105342,2105167,175,734934,886321,886250,71,850,18692,96,95,6,3,0,1,87,886327,87,45,886282,7177,4360,2817,0,879105,419819,9789,,,323929,,65556,34071,25941,
