ID,TERYT,JEDNOSTKA TERYTORIALNA,GŁOSOWANIE PRZEZ PEŁNOMOCNIKA,GŁOSOWANIE NA PODSTAWIE ZAŚWIADCZENIA,GŁOS NIEWAŻNY,"""X"" OBOK KILKU KANDYDATÓW","""X"" OBOK ŻADNEGO KANDYDATA",KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,"LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",POLEXIT - KOALICJA,JEDNOŚĆ NARODU,PRAWO I SPRAWIEDLIWOŚĆ,RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI,WIOSNA ROBERTA BIEDRONIA,KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,KUKIZ'15,POLSKA FAIR PLAY
1,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
2,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
3,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
4,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
5,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
6,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
7,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
8,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
9,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
10,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
11,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
12,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
13,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
14,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
15,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
16,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
17,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
18,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
19,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
20,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
21,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
22,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
23,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
24,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
25,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
26,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
27,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
28,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
29,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
30,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
31,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
32,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
33,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
34,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
35,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
36,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
37,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
38,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
39,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
40,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
41,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
42,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
43,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
44,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
45,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
46,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
47,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
48,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
49,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
50,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
51,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
52,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
53,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
54,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
55,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
56,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
57,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
58,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
59,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
60,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
61,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
62,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
63,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
64,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
65,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
66,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
67,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
68,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
69,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
70,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
71,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
72,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
73,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
74,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
75,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
76,20101,m. Bolesławiec,,1,,,,1,,,,,,,,,
77,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
78,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
79,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
80,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
81,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
82,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
83,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
84,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
85,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
86,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
87,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
88,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
89,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
90,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
91,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
92,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
93,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
94,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
95,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
96,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
97,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
98,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
99,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
100,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
101,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
102,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
103,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
104,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
105,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
106,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
107,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
108,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
109,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
110,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
111,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
112,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
113,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
114,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
115,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
116,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
117,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
118,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
119,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
120,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
121,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
122,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
123,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
124,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
125,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
126,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
127,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
128,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
129,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
130,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
131,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
132,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
133,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
134,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
135,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
136,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
137,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
138,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
139,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
140,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
141,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
142,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
143,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
144,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
145,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
146,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
147,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
